
日本地名

東北 东北
北海道 北海道
札幌 札幌
旭川 旭川
青森 青森
岩手 岩手
盛岡 盛冈
宮城 宫城
仙台 仙台
秋田 秋田
山形 山形
福島 福岛
いわき 磐城
東京 东京
首都 首都
渋谷 涩谷
新宿 新宿
秋葉原 秋叶原
浅草 淺草
六本木 六本木
世田谷 世田谷
八王子 八王子
関東 关东
茨城 茨城
水戸 水戶
栃木 枥木
宇都宮 宇都宫
群馬 群马
前橋 前桥
埼玉 埼玉
川口 川口
千葉 千叶
船橋 船桥
市川 市川
松戸 松户
神奈川 神奈川
横浜 横浜
川崎 川崎
相模原 相模原
横須賀 横须贺
中部 中部
北陸 北陆
甲信越 甲信越
東海 东海
新潟 新泻
富山 富山
石川 石川
金沢 金泽
福井 福井
山梨 山梨
甲府 甲府
長野 长野
静岡 静冈
浜松 滨松
岐阜 岐阜
愛知 爱知
名古屋 名古屋
豊田 丰田
豊橋 丰桥
近畿 近畿
関西 关西
三重 三重
津 津
滋賀 滋贺
大津 大津
京都 京都
大阪 大阪
堺 堺
豊中 丰中
奈良 奈良
和歌山 和歌山
兵庫 兵库
神戸 神户
西宮 西宫
尼崎 尼崎
姫路 姫路 
姫路 姬路
中国 中国
鳥取 鸟取
島根 岛根
松江 松江
岡山 冈山
倉敷 仓敷
広島 广岛
福山 福山
山口 山口
四国 四国
徳島 德岛
香川 香川
高松 高松
愛媛 爱媛
松山 松山
高知 高知
九州 九州
福岡 福冈
博多 博多
北九州 北九州
佐賀 佐贺
長崎 长崎
大分 大分
別府 别府
宮崎 宫崎
熊本 熊本
鹿児島 鹿儿岛
沖縄 冲绳
那覇 那霸


= = = 

中国に省の言い方

北京 北京
天津 天津
上海 上海
重慶 重庆
チベット 西藏
内蒙 内蒙
新疆 新疆
寧夏 宁夏
広西 广西
黒竜江 黑龙江
吉林 吉林
遼寧 辽宁
河北 河北
河南 河南
山東 山东
山西 山西
湖南 湖南
湖北 湖北
江蘇 江苏
安徽 安徽
浙江 浙江
福建 福建　
江西 江西
広東 广东
海南 海南
貴州 贵州
雲南 云南　　　　　　
四川 四川
陝西 陕西　　　　　　　　　　　　　　　
青海　青海
甘粛 甘肃　　　　　　　
台湾 台湾
香港 香港
マカオ 澳门

= = =

蘭州 兰州
南京 南京
哈爾濱 哈尔滨
桂林 桂林　


= = = 

バリ島 巴厘岛

= = =

北京地名篇

北京新国際空港 北京新国际机场
五環路 五环路
四元橋 四元桥
望京新城 望京新城
北京国際電信局 北京国际电信局
三元橋 三元桥
中国旅行社ビル 中国旅行社大厦
中日青年交流センター 中日青年交流中心
中日友好病院 中日友好医院
亮馬河ホテル 亮马河饭店
崑崙ホテル 昆仑饭店 華都ホテル 華都ホテル 华都饭店
長城ホテル 长城饭店
三里屯大使館区 三里屯大使馆区
全国農業展覧館 国家农业展览馆
朝陽公園 朝阳公园
北京工人体育場 北京工人体育场
北京工人体育館 北京工人体育馆
京広大厦 京广大厦
国際貿易センター 国际贸易中心
京倫ホテル 京倫饭店
建国ホテル 建国饭店
西単友誼集団 西单友谊商店
国際大厦 国际大厦
賽特購物中心 赛特购物中心
福宮 长富宫
建国門立体交差 建国门立交桥
東南城角楼 东南城角楼
古観象台 旧观景台
中国社会科学院 中国社会科学院
中国税関ビル 中国海关大厦
長安大戯院 长安大戏院
北京国際飯店 北京国际饭店
長安街 长安街
東単 东单
王府井 王府井
北京飯店 北京饭店
中国国家大劇院 中国国家大剧院
北京電信ビル 北京电信大厦
北京図書大厦 北京图书大厦
西単文化広場 西单文化广场
西単大街 西单大街


= = =

https://zh.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E5%A7%93%E6%B0%8F%E5%88%97%E8%A1%A8/1-1000  [日本姓氏列表/1-1000]

日本人常见姓氏

佐藤 佐藤
铃木 铃木
高桥 高桥
田中 田中
渡辺、渡边 渡边
伊藤 伊藤
山本 山本
中村 中村
小林 小林
斎藤 斋藤
加藤 加藤
吉田 吉田
山田 山田
佐々木 佐佐木
山口 山口
松本 松本
井上 井上
木村 木村
林 林
清水 清水
山崎 山崎
中岛 中岛
池田 池田
阿部 阿部
桥本 桥本
山下 山下
森 森
石川 石川
前田 前田
小川 小川
藤田 藤田
冈田 冈田
后藤 后藤
长谷川 长谷川
石井 石井
村上 村上
近藤 近藤
坂本 坂本
远藤 远藤
青木 青木
藤井 藤井
西村 西村
福田 福田
太田 太田
三浦 三浦
藤原氏 藤原
冈本 冈本
马自达 松田
中川 中川
中野 中野
原田 原田
小野 小野
田村 田村
竹内 竹内
金子 金子
和田 和田
中山 中山
石田 石田
上田 上田
森田 森田
小岛 小岛
柴田 柴田
原 原
宫崎 宫崎
酒井 酒井
工藤 工藤
横山 横山
宫本 宫本
内田 内田
高木 高木
安藤 安藤
岛田 岛田
谷口 谷口
大野 大野
高田 高田
丸山 丸山
今井 今井
河野 河野
藤本 藤本
村田 村田
武田 武田
上野 上野
杉山 杉山
増田 增田
小山 小山
大冢 大冢
平野 平野
菅原 菅原
久保 久保
松井 松井
千叶 千叶
岩崎 岩崎
桜井 樱井
樱井 樱井
木下 木下
野口 野口
松尾 松尾
菊地 菊地
野村 野村
新井 新井
渡部 渡部
= = =

常用外来语


= = =

アジア 亚洲
中國 中国
日本 日本
台灣 台湾
韓國 韩国
北韓 朝鮮
香港 香港 
マカオ 澳門
シンガポール 新加坡 
マレーシア 马来西亚
インドネシア 印尼
タイ 泰国
フィリピン 菲律宾
ベトナム 越南
インド 印度
モンゴル 蒙古
イスラエル 以色列
サウジアラビア 沙特
ヨーロッパ 欧洲
イギリス 英国
イタリア 意大利
オランダ 荷兰  
フランス 法国
ドイツ 德国
スペイン 西班牙
ギリシャ 希腊
ポルトガル 葡萄牙
スイス 瑞士
ベルギー 比利时
ロシア 俄罗斯
北米 北美
南米 南美
アフリカ 非
オセアニア 大洋洲
アメリカ 美国
米国 美国
カナダ 加
メキシコ 墨西哥
ブラジル巴西
アルゼンチン 阿根廷
コロンビア 哥伦比亚
エジプト 埃及
南アフリカ 南非
オーストラリア 澳
ニュージーランド 新西兰 
カンボジア 柬埔寨
チェコスロバキア 捷克斯洛伐克
メキシコ 墨西哥
